dismissal,career_phase,ball_age,early_phase,is_pace,is_spin,outside_off_proxy,straight_bat_proxy,leg_side_proxy,short_ball_proxy,full_length_proxy,condition_proxy,high_pressure,innings,match_id
1,peak,old_ball,0,1,0,0,1,0,0,1,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1022593
1,peak,old_ball,0,1,0,1,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,2,1022595
1,peak,new_ball,1,1,0,1,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,1,1022597
1,peak,new_ball,0,1,0,0,1,0,0,1,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1022597
1,peak,old_ball,0,1,0,1,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030213
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030213
1,peak,old_ball,0,1,0,1,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,1,3,1030213
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,1,3,1030213
1,peak,middle_overs,0,1,0,1,0,0,0,0,neutral,0,1,1030215
0,peak,new_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030215
0,peak,new_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030215
0,peak,new_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030215
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,0,1,1030215
0,peak,new_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030215
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,0,1,1030215
1,peak,middle_overs,0,1,0,0,1,0,0,1,neutral,1,3,1030215
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030215
0,peak,new_ball,0,1,0,0,0,0,0,0,neutral,1,3,1030215
0,peak,new_ball,1,1,0,0,0,0,0,0,neutral,1,3,1030215
0,peak,new_ball,0,1,0,0,0,0,0,0,neutral,1,3,1030215
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030215
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030215
1,peak,old_ball,0,1,0,0,1,0,0,1,neutral,0,1,1030217
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030217
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030217
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030217
0,peak,old_ball,0,0,1,0,0,0,0,0,neutral,0,1,1030217
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,0,1,1030217
0,peak,old_ball,0,1,0,0,0,0,0,0,neutral,0,1,1030217
1,peak,middle_overs,0,1,0,0,1,0,0,1,neutral,1,3,1030217
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030217
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030217
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030217
0,peak,middle_overs,0,0,1,0,0,0,0,0,neutral,1,3,1030217
0,peak,middle_overs,0,1,0,0,0,0,0,0,neutral,1,3,1030217
